Date ,Season,Competition,Game Week,Group,Time,Match Venue,Home Team,Away Team,HTHG,HTAG,FTHG,FTAG,FTR,Remarks,Notes,HomeTeam Goals,AwayTeam Goals,HomeTeam XI,HomeTeam Reserves,AwayTeam XI,AwayTeam Reserves,HomeTeam Coach,AwayTeam Coach,Penalties
14/11/2023,2023/24,NWFL Regular Season ,1,B,4:00 PM,"Oluyemi Kayode Stadium, Ado Ekiti ",Ekiti Queens,Delta Queens,0,0,0,0,D,Completed,,,,https://twitter.com/TheNWFL/status/1724448664343531605?t=f5VxANQKjjML50YaoLt2wQ&s=19,https://twitter.com/TheNWFL/status/1724448664343531605?t=f5VxANQKjjML50YaoLt2wQ&s=19,https://twitter.com/TheNWFL/status/1724448664343531605?t=f5VxANQKjjML50YaoLt2wQ&s=19,https://twitter.com/TheNWFL/status/1724448664343531605?t=f5VxANQKjjML50YaoLt2wQ&s=19,,,  
15/11/2023,2023/24,NWFL Regular Season ,1,A,10:00 AM,Aguiyi Ironsi Mini Stadia,Naija Ratels,Nassarawa Amazons,0,2,1,3,A,Completed,,⚽Davies Nora (89),"⚽Ojiyovwi Kesiena (41)
⚽Ayatsea Hembafan(45+4, 60)",,"Okoye Chioma (GK) 35
Nnadi Oluchi 15
Isah Sikiratu 6  
Mathias Josephine  31
Omosuyi Ayowunmi 16
Mosaku Bisola 21 
Isaiah Ochanya 18
Patience Dike 3 
Saleh Blessing 9  ","UNACHUKWU UDOKA 32 (GK)
NWOHA CONFIDENCE 30 (LB)
ESSIEN MARYLEN        26 ( RB)
KALU CHINYERE           4   (DM)
ADESOJI  ESTHER.       5   ( CD)
EMMANUEL GIFT         27 ( CD)
SAHEED ADEBISI        14  (MD)
LOT DANIELLA.            7   (AT)
ODOH BIBIANA            23 (AT)
OJIYOVWI KESIENA    28 (MD)
AYATSEA HEMBAFAN  13 (AT)","OKOYE CHIOMA            35(GK)
NNADI OLUCHI              15(RB)
ISAH SIKIRATU               6  (CD)
MATHIAS JOSEPHINE  31(MD)
OMOSUYI AYOWUNMI  16 (DM)
MOSAKU BISOLA           21 (AT)
ISAIAH OCHANYA         18 (DM)
DIKE PATIENCE.             3 ( LB)
SALEH BLESSING          9 (AT)",COACH BANKOLE,COACH OLAOYE OLUWASEYI MICHEAL ,
15/11/2023,2023/24,NWFL Regular Season ,1,A,,"Dan Anyiam, Owerri, Imo State",Heartland Queens ,Royal Queens,3,0,4,0,H,Completed,,"⚽Onyinyechi Kalu (1)
⚽Chidinma Anaele (9)
⚽Gift Afigbeditor (18[og])
⚽Chinedu Chinaka (90)",,https://twitter.com/TheNWFL/status/1724760097140744621?t=m89X_NQV9CXOH0tQHx1khw&s=19,,"Enugbokan Adefunke 30
Lucky Victory 26
Omagbemi Eyitemi 3
Omatsone Ada 12
Sylvester Chidinma 19
Afigbediitor Gift 4
Oluwafemi Osundina 28
Ijeje Favour 23
Chika Idika 24
Ezekwugo Chiamaka 10
Azeezat Obadun 7","Gabriel Catherine 35
Ogor Alice Awo 9
Busari Suliyat 14
Inusa Netifatu 15
Raheem Aishat 21
Charity Reuben 20
Dzer Comfort 22",,,
15/11/2023,2023/24,NWFL Regular Season ,1,A,,"Enyimba Stadium, Aba, Abia State",Abia Angels ,Adamawa Queens ,0,1,3,2,H,Completed,,"⚽Chiamaka Ojialor ( 59)
⚽Nancy Emmanuel (74)
⚽ Amarachi Ndumin (92)","⚽Mary Moses (15)
⚽Loveth Bogyande (79)","Mercy Vincent (GK) 1
Nkiru Donatus 26
Harmony Nwali 5
Udeme Uko (C) 6
Blessing Barnabas30
Francisca Tseke 32
Damilola Adebayo 31
Amarachi Ndudim 15
Nancy Emmauel 24
Ijeoma Okeke 34
Chiamaka Ojialor 9","Uju Ngwu 23
Funmilayo Adefuye 13
Ambless Ogbonna 3
Ugaj Helen 12
Echepu Blessing 10
Isaiah Charity 25
Chikwai Ifunanya 27
Isiaka Lolade 18
Tobi Oghenerugba 16 ",,,,,
15/11/2023,2023/24,NWFL Regular Season ,1,A,,"Iyamho Stadium, Auchi",Confluence Queens,Dannaz Ladies,0,0,0,0,D,Completed,,,,,,"Jimoh Selimot 1
Ayegbami Nofisat 2
Awori Opeyemi 3
Solaty Fatimoh 8
Akinbo Ajoke 9
Akpowonane Glory 12
Ogunfuwa Omotoke 16
Nnaji Chidera 17
Raymond Dorcas 18
Bakare Deborah 20
Akintola Olawunmi 21","Anusillem Amarachi 7
Moses Farkikyen 11
Aduramomi Mary 13
Nwosu Delight 19
Balogun Adebola 22
Okam Ruth 34",,,
15/11/2023,2023/24,NWFL Regular Season ,1,B,,"Remo Stadium, Ikenne, Ogun State",Remo Stars Ladies,Rivers Angels,0,1,1,1,D,Completed,,⚽Joy Nneka (74),⚽Motunrayo Ezekiel (12),https://twitter.com/TheNWFL/status/1724800763053166917?t=ankMGOgqV8xfGE28fl3Mhg&s=19,https://twitter.com/TheNWFL/status/1724800763053166917?t=ankMGOgqV8xfGE28fl3Mhg&s=19,,,,,
15/11/2023,2023/24,NWFL Regular Season ,1,B,4:00 PM,"Ondo State Sports Complex, Akure",Sunshine Queens,Bayelsa Queens,1,0,1,1,D,Completed,,⚽Suliat Ajibade (18),⚽Mercy Itimi (62),"Jennifer Ukam 31
Akwubo Obianuju 7
Divine Onwuchekwa 6
Kehinde Aganmuyi 27
Joy Falegan 17 
Joy Ajah 34
Shola Oduwale 11
Suliat Ajibade 14
Taiwo Ajibade 32 
Nwamaka Augusta 18 
Bolaji Olamide 13","Bright Etim 22 
Ireti Eretan 4 
Eunice Ezeani 12 
Timilehin Towobola 3
Mary Popoola 8
Bunmi Adenuga 10 
Mercy Mbachu 5 
Ugwu Rita 24
Akintunde Ololade 16 ",,,,,
15/11/2023,2023/24,NWFL Regular Season ,1,B,,"Samuel Ogbemudia Stadium, Edo",Edo Queens ,FC Robo Queens ,2,0,4,1,H,Completed,,"⚽Kafayat Mafisere (25)
⚽Eunice Godwin (31, 66)
⚽Chioma Moses (85)",⚽Nkwocha Favour (64),https://twitter.com/TheNWFL/status/1724835391075701176?t=QXCy30eZrel-MaTlZCa4AA&s=19,https://twitter.com/TheNWFL/status/1724835391075701176?t=QXCy30eZrel-MaTlZCa4AA&s=19,"Ndubisi Esther 16
Adegbite Bukola 22
Yusuf Misturat 28
Adeyemo Fasilat 5
Nkwocha Favour 11
Ogbuchi Chidinma 12
Adebayo Raheemot 17
Oladiti Rukayat 18
Peters Deborah 33
Onyenezide Esther 10
Ijamilusi Folashade 13","Olodu Mercy 1
Yahaya Mariam 19
Ariori Dolapo 27
Oduntan Azeezat 23
Salami Bose  32
Afuye Kehinde 29
Afolayan Doyin 26",,,
22/11/2023,2023/24,NWFL Regular Season ,2,A,4:00 PM,"Onikan Stadium, Lagos",Dannaz Ladies,Naija Ratels ,1,0,2,0,H,Completed,,"⚽Delight Isaac (45, 70)",,,,,,,,
22/11/2023,2023/24,NWFL Regular Season ,2,A,4:00 PM,"Pantami Stadium, Gombe",Adamawa Queens,Confluence Queens,0,0,0,1,A,Completed,,,⚽Mary Mamudu (72),https://twitter.com/TheNWFL/status/1727335248357384261?t=Q5Jbi6uFa5SoEKRqR1lJEQ&s=19,,"Silva Echefu 1
Mary Opara 5
Deborah George 22
Saidat Adebiyi 4
Hauwa Abdullahi 3
Lucky Ugbehru 6
Merit Offor 15
Mary Mamudu 29
Kemi Akintan 9
Amarachi Okoronkwo 10
Emenike Chinenye 28","Omotolani Oladuntoye 31
Amarachi Onyekwe 20
Hannah Yusuf 13
Nana Yusuf 12
Fagbenro Daniella 7
Patience Ojo 18
Mustapha Ifeoluwa 17",,,
22/11/2023,2023/24,NWFL Regular Season ,2,A,4:00 PM,"Sapele Stadium, Delta",Royal Queens,Abia Angels,0,1,0,1,A,Completed ,,,⚽Charity Isaiah (45) ,,,,,,,
22/11/2023,2023/24,NWFL Regular Season ,2,A,4:00 PM,Lafia City Stadium,Nassarawa Amazons,Heartland Queens,1,0,1,0,H,Completed,,⚽Bibiana Odoh (45),,,,,,,,
